cluster,gene_id,score,logfoldchange,pval,pval_adj,pct_expressed,gene_name_clean,is_significant,is_labeled
0,g39702_FUT11_26,3.5897899,1.7448795,0.00033094470244943386,0.003172653661545979,0.1111111111111111,FUT11,True,True
0,g17290_HMCN1_18,3.5865366,0.4164704,0.00033509911450537447,0.003201580285402867,0.3888888888888889,HMCN1,True,True
0,g6088_PLIN2,3.5864015,1.0520612,0.00033527259776868607,0.003201580285402867,0.2,PLIN2,True,True
0,g17042_STK36_1,3.5641122,1.4373784,0.00036508978850275785,0.003459267045813461,0.4666666666666667,STK36,True,True
0,g38877_KRR1_2,3.5599058,0.96745163,0.0003709879584041279,0.003508958815739495,0.26666666666666666,KRR1,True,True
0,g39374_LSG1_1,3.5563152,0.83988935,0.0003760928620638289,0.003545189178219681,0.17777777777777778,LSG1,True,True
0,g6585_HSPB9_1,3.5367646,1.2575188,0.00040506031463340966,0.003781766937513706,0.3111111111111111,HSPB9,True,True
0,g11356_FAM81A_1,3.5287993,2.2756784,0.0004174497483729857,0.003877679601806859,0.14444444444444443,FAM81A,True,True
0,g30027_STK36_3,3.5119026,0.66948736,0.00044491113281061893,0.004098998984750505,0.13333333333333333,STK36,True,True
0,g33237_USP8,3.5051248,0.70993906,0.00045639343539754677,0.004191613393519574,0.14444444444444443,USP8,True,True
0,g31386_BSDC1,3.4190195,0.89664716,0.0006284721414150536,0.0055675976999391506,0.26666666666666666,BSDC1,True,True
0,g19179_PARP9_2,3.4101446,1.3153589,0.000649284626345976,0.005729809785056783,0.6,PARP9,True,True
0,g20463_npr-9_2,3.397727,2.2299252,0.0006794818547109112,0.0059639790576961295,0.13333333333333333,npr-9,True,True
0,g405_GSTM3_2,3.3946083,1.0459678,0.0006872685832038643,0.006021508005141807,0.17777777777777778,GSTM3,True,True
0,g1907_BARX2_1,3.378343,0.7243306,0.0007292402064525123,0.00635127923124238,0.2111111111111111,BARX2,True,True
0,g22234_BRD4_2,3.3653755,0.8074034,0.0007643953323781777,0.006622048925531518,0.4777777777777778,BRD4,True,True
0,g20544_RAB23,3.360958,0.7927238,0.0007767259804968231,0.006705093888175755,0.6444444444444445,RAB23,True,True
0,g43576_HK2_2,3.3418455,0.7877031,0.0008322339319025604,0.007104680185968839,0.1111111111111111,HK2,True,True
0,g26475_PLEKHM1,3.3416872,0.4117489,0.0008327084567809022,0.007104680185968839,0.2222222222222222,PLEKHM1,True,True
0,g37786_ACSL6_2,3.3410773,1.0589215,0.0008345394683681043,0.007116160283501846,0.35555555555555557,ACSL6,True,True
0,g20136_ZNFX1_4,3.3227873,0.9635849,0.0008912286205125563,0.007542511038956726,0.3,ZNFX1,True,True
0,g12659_TRIM45,3.3214695,0.9507249,0.000895447269911584,0.007573767641255601,0.14444444444444443,TRIM45,True,True
0,g5158_RNF4_1,3.3099337,1.2487471,0.0009331807176415359,0.00782079071423078,0.23333333333333334,RNF4,True,True
0,g13795_INPP5E,3.3009546,1.5906391,0.0009635645856568175,0.00802124641121305,0.2,INPP5E,True,True
0,g6470_PPAP2B,3.2961197,0.76546943,0.0009803027679766868,0.008136665433812678,0.1111111111111111,PPAP2B,True,True
0,g22657_SOX5,3.2735155,0.65783817,0.00106218546727048,0.008722417131232882,0.14444444444444443,SOX5,True,True
0,g24323_ARFIP1,3.2622144,0.90852356,0.0011054547033511504,0.009026097424121332,0.14444444444444443,ARFIP1,True,True
0,g4585_GSTM3_3,3.250808,2.3068933,0.0011507753157421472,0.009324524366030068,0.1111111111111111,GSTM3,True,True
0,g9066_TRIM3_2,3.2462544,0.7830577,0.001169342802997057,0.009464509556229078,0.2777777777777778,TRIM3,True,True
0,g26130_DKK1,3.2406747,0.79234046,0.00119247124312225,0.009635746131028633,0.4,DKK1,True,True
0,g20841_TTI2,3.2266145,1.2334244,0.0012526415384989168,0.010055432459647932,0.13333333333333333,TTI2,True,True
0,g41717_IL1RAPL2_22,3.1951046,3.0216534,0.0013978017079879876,0.01105881651502093,0.26666666666666666,IL1RAPL2,True,True
0,g16321_PTGS1_3,3.1926024,1.9733893,0.0014099692523440728,0.011105496668919624,0.45555555555555555,PTGS1,True,True
0,g34409_PRSS35_2,3.1923857,0.41145572,0.0014110280563157302,0.011107867480921576,0.2777777777777778,PRSS35,True,True
0,g23942_CHAC1_1,3.1677754,0.5142302,0.0015361017549545527,0.011957609943772615,0.17777777777777778,CHAC1,True,True
0,g15566_SUMO3,3.1589944,0.48799002,0.0015831456620697918,0.012252243460728092,0.2222222222222222,SUMO3,True,True
0,g1711_DOCK9_1,3.1509247,0.77285856,0.001627543975811933,0.012575930204244233,0.14444444444444443,DOCK9,True,True
0,g23740_RAB11A,3.1154878,0.71379775,0.0018364097085392305,0.013903973919301673,0.12222222222222222,RAB11A,True,True
0,g18263_TGM6_1,3.1057377,0.8147229,0.0018980508455812817,0.01431153770294775,0.14444444444444443,TGM6,True,True
0,g37952_SUDS3_2,3.1017551,1.1135515,0.0019237696894449606,0.014468248387831829,0.15555555555555556,SUDS3,True,True
0,g4170_FGFR2,3.093568,0.83570004,0.0019776512175225486,0.014797555664341763,0.7888888888888889,FGFR2,True,True
